region,start,end,scale,pipeline
beaufort_sea-large,2007-07-11,2007-07-11,250,FSPipeline
greenland_sea-large,2012-04-06,2012-04-06,250,FSPipeline
barents_kara_seas-large,2009-03-02,2009-03-02,250,FSPipeline
laptev_sea-large,2010-05-19,2010-05-19,250,FSPipeline
sea_of_okhostk-large,2015-03-12,2015-03-12,250,FSPipeline
east_siberian_sea-large,2017-04-17,2017-04-17,250,FSPipeline
bering_chukchi_seas-large,2012-06-07,2012-06-07,250,FSPipeline
hudson_bay-large,2013-06-10,2013-06-10,250,FSPipeline
baffin_bay-large,2007-06-05,2007-06-05,250,FSPipeline
