Area,Centroid_1,Centroid_2,MajorAxisLength,MinorAxisLength,Orientation
76034,47.8991240760712,1188.09532577531,979.520134904866,118.55500930756,-89.7150629316934
4143,32.158339367608,1887.66449432778,74.9900864566409,74.4191406387547,-34.3516868399658
284,6.47887323943662,2019.60915492958,27.5735657477481,18.0554242907268,-85.566302295819
3619602,542.181539020036,3352.41706159959,3904.1637569369,1336.12135356442,82.1584225565438
33,2.27272727272727,5932.42424242424,10.7635264149893,4.57440653694566,-88.482886302677
90,2.61111111111111,6371.51111111111,24.4249351931423,5.73689145154852,88.0267092490784
21297,56.7894069587266,6531.2003099028,278.461268945372,146.398396427471,-71.4241665188793
91426,175.299706866756,6995.51307068011,694.778084899974,234.952032210285,-53.3430064643247
2,1,6906.5,2.3094010767585,1.15470053837925,90
33,3.3030303030303,6914.60606060606,7.34577433223427,6.03244394855741,47.3022435784908
308715,186.632243331228,7632.7795895891,1065.8327273864,547.120686852741,-86.92341317793
1042,28.278310940499,331.036468330134,66.337256789065,23.3732741888312,17.8993451345657
93117,322.711749734205,6757.35372703158,1743.87157123344,209.663107810362,-69.549265326157
37,12,1790,6.93080341923186,6.93080341923186,0
13,21,6918.15384615385,5.33012724146961,3.28645537846402,0
6,20.1666666666667,6945,4,2.21108319357027,53.130102354156
18,21.3333333333333,6643.05555555556,8.06417807165828,3.09617764012387,70.8454319989929
8,31.75,6326,4.26009462802185,2.7419446433081,-24.4070374171452
142,52.4788732394366,6915.35211267606,37.7039278929194,7.79252308964705,-37.4088205685149
332,53.9006024096386,6384.15963855422,30.2364299477616,14.8357711276765,-44.6794109883571
709,80.9280677009873,7086.40902679831,62.6367220098038,17.5979464989965,6.99873352282339
463,70.8552915766739,6348.22030237581,46.7937996985115,17.8988982844249,55.5960396226364
407,73.4815724815725,6410.27027027027,28.239377587305,22.1411726173416,85.0042691791513
196,74.7602040816327,7114.20918367347,22.0807988601742,14.813642825763,-39.9559855324889
30,74.1666666666667,6935.6,10.7517987154941,3.97421437985619,-1.22504941290302
306,82.6993464052288,6671.16666666667,31.7563335645225,15.2314639455971,-6.40927019615843
8,72.625,6485.875,4.61880215351701,2.61406452355969,-66.8014094863518
55,77.9454545454546,7100.96363636364,11.7941700369768,6.33066170765633,19.7170529584284
20,80.6,6393.3,6.58681803802368,4.01004922670938,-69.0438256424925
62,88.1451612903226,6504.8064516129,11.2226122428223,7.24964207451747,-52.9577448612343
25,88.68,7010.2,6.84482104069087,4.95748843544614,45.4609607388194
1327,106.422004521477,1060.81461944235,277.698545798267,10.0776108521601,-85.7401134909799
15,93.6666666666667,6439.66666666667,5.35201356254192,4.17137810211587,80.782525588539
15,95.4666666666667,7101.86666666667,4.76095228569523,4.2226900325635,75.9637565320735
20,102.75,1200.8,6.11087793745044,4.52590736761681,14.1641885310205
