region,center_crs,center_lat,center_lon,target_crs,target_width,target_height
141-beaufort_sea-100km,EPSG:4326,74.66490739686482,-150.17992743452623,EPSG:3413,100_000,100_000
142-beaufort_sea-100km,EPSG:4326,70.13458850929605,-140.61220322932488,EPSG:3413,100_000,100_000
144-beaufort_sea-100km,EPSG:4326,71.34239041021729,-136.7569883099082,EPSG:3413,100_000,100_000
145-beaufort_sea-100km,EPSG:4326,70.33427169714388,-141.34019174590992,EPSG:3413,100_000,100_000
146-beaufort_sea-100km,EPSG:4326,70.21212906168073,-132.68293761412866,EPSG:3413,100_000,100_000
155-bering_strait-100km,EPSG:4326,69.87844540882928,-168.41938081777187,EPSG:3413,100_000,100_000
157-bering_strait-100km,EPSG:4326,60.00562854443666,-171.7405620201212,EPSG:3413,100_000,100_000
158-bering_strait-100km,EPSG:4326,71.11761231909615,-170.13419305691565,EPSG:3413,100_000,100_000
163-bering_strait-100km,EPSG:4326,58.60837596513459,-169.77314229365865,EPSG:3413,100_000,100_000
165-bering_strait-100km,EPSG:4326,61.824479163964654,-171.17962044797895,EPSG:3413,100_000,100_000
168-bering_strait-100km,EPSG:4326,62.27074227899072,-177.3523703347078,EPSG:3413,100_000,100_000
170-bering_strait-100km,EPSG:4326,61.96997611243771,-169.13918537836267,EPSG:3413,100_000,100_000
171-bering_strait-100km,EPSG:4326,62.99920350261355,-168.3565685012383,EPSG:3413,100_000,100_000
172-bering_strait-100km,EPSG:4326,60.65389165183929,-172.17864789562506,EPSG:3413,100_000,100_000
176-bering_strait-100km,EPSG:4326,58.23860957981134,-172.80376457091864,EPSG:3413,100_000,100_000
178-bering_strait-100km,EPSG:4326,63.348725922335845,-173.08877288097534,EPSG:3413,100_000,100_000
179-bering_strait-100km,EPSG:4326,60.37378491297163,-165.96375653207352,EPSG:3413,100_000,100_000
187-bering_strait-100km,EPSG:4326,72.59554736559004,-165.44642720928746,EPSG:3413,100_000,100_000
192-bering_strait-100km,EPSG:4326,71.5059284199646,-164.26119856255056,EPSG:3413,100_000,100_000
196-chukchi_east_siberian_seas-100km,EPSG:4326,69.25793094662976,168.7775419305552,EPSG:3413,100_000,100_000
